[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Dark_015
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 12.0534 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.75
lampLEDs = 0
tempLampModule = 25.75
tempSpectrometer = 26.9375
tempMainCPU = 28.5625
Deviation = 12.0534
Maximum = 1262
RAWDynamic = 65535
tempLampModule = 26.8125
tempSpectrometer = 27.5625
tempMainCPU = 29.0625
Deviation = 10.7629
Maximum = 1672
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 10 0 0
306.481 1634 0 0
309.843 1634 0 0
313.205 1642 0 0
316.569 1640 0 0
319.934 1637 0 0
323.299 1645 0 0
326.665 1643 0 0
330.032 1633 0 0
333.4 1632 0 0
336.768 1643 0 0
340.137 1643 0 0
343.507 1639 0 0
346.877 1641 0 0
350.249 1648 0 0
353.621 1635 0 0
356.993 1631 0 0
360.367 1636 0 0
363.741 1643 0 0
367.115 1634 0 0
370.491 1628 0 0
373.867 1640 0 0
377.243 1635 0 0
380.621 1637 0 0
383.998 1644 0 0
387.377 1652 0 0
390.756 1640 0 0
394.135 1637 0 0
397.516 1644 0 0
400.896 1634 0 0
404.278 1632 0 0
407.659 1645 0 0
411.042 1649 0 0
414.424 1638 0 0
417.808 1637 0 0
421.192 1652 0 0
424.576 1643 0 0
427.961 1644 0 0
431.346 1648 0 0
434.731 1650 0 0
438.118 1632 0 0
441.504 1636 0 0
444.891 1644 0 0
448.278 1635 0 0
451.666 1641 0 0
455.054 1653 0 0
458.443 1642 0 0
461.832 1639 0 0
465.221 1645 0 0
468.61 1653 0 0
472 1639 0 0
475.39 1648 0 0
478.781 1664 0 0
482.172 1655 0 0
485.563 1650 0 0
488.954 1661 0 0
492.346 1661 0 0
495.738 1650 0 0
499.13 1655 0 0
502.522 1665 0 0
505.915 1650 0 0
509.308 1659 0 0
512.701 1660 0 0
516.094 1653 0 0
519.488 1641 0 0
522.881 1658 0 0
526.275 1652 0 0
529.669 1656 0 0
533.063 1651 0 0
536.457 1658 0 0
539.851 1648 0 0
543.246 1656 0 0
546.64 1663 0 0
550.035 1654 0 0
553.43 1648 0 0
556.824 1661 0 0
560.219 1647 0 0
563.614 1654 0 0
567.009 1663 0 0
570.404 1659 0 0
573.799 1648 0 0
577.194 1648 0 0
580.589 1663 0 0
583.984 1648 0 0
587.379 1646 0 0
590.773 1663 0 0
594.168 1660 0 0
597.563 1654 0 0
600.958 1661 0 0
604.352 1662 0 0
607.747 1648 0 0
611.141 1660 0 0
614.536 1666 0 0
617.93 1656 0 0
621.324 1654 0 0
624.718 1654 0 0
628.111 1659 0 0
631.505 1646 0 0
634.898 1672 0 0
638.292 1657 0 0
641.685 1648 0 0
645.078 1648 0 0
648.47 1665 0 0
651.863 1645 0 0
655.255 1653 0 0
658.647 1664 0 0
662.038 1653 0 0
665.43 1653 0 0
668.821 1658 0 0
672.211 1660 0 0
675.602 1647 0 0
678.992 1653 0 0
682.382 1660 0 0
685.772 1646 0 0
689.161 1648 0 0
692.55 1656 0 0
695.938 1652 0 0
699.326 1651 0 0
702.714 1654 0 0
706.101 1659 0 0
709.488 1650 0 0
712.875 1653 0 0
716.261 1660 0 0
719.646 1649 0 0
723.031 1648 0 0
726.416 1657 0 0
729.8 1652 0 0
733.184 1644 0 0
736.567 1648 0 0
739.95 1659 0 0
743.332 1643 0 0
746.714 1645 0 0
750.095 1663 0 0
753.476 1654 0 0
756.856 1648 0 0
760.235 1652 0 0
763.614 1651 0 0
766.993 1646 0 0
770.371 1646 0 0
773.748 1658 0 0
777.124 1650 0 0
780.5 1651 0 0
783.876 1657 0 0
787.25 1660 0 0
790.624 1641 0 0
793.997 1648 0 0
797.37 1658 0 0
800.742 1651 0 0
804.113 1644 0 0
807.484 1647 0 0
810.853 1652 0 0
814.222 1643 0 0
817.591 1656 0 0
820.958 1657 0 0
824.325 1644 0 0
827.691 1648 0 0
831.056 1659 0 0
834.421 1653 0 0
837.784 1648 0 0
841.147 1650 0 0
844.509 1651 0 0
847.87 1650 0 0
851.231 1647 0 0
854.59 1656 0 0
857.949 1645 0 0
861.306 1647 0 0
864.663 1652 0 0
868.019 1650 0 0
871.374 1644 0 0
874.728 1639 0 0
878.081 1656 0 0
881.433 1649 0 0
884.784 1642 0 0
888.135 1656 0 0
891.484 1643 0 0
894.832 1638 0 0
898.179 1646 0 0
901.526 1653 0 0
904.871 1645 0 0
908.215 1643 0 0
911.558 1647 0 0
914.9 1646 0 0
918.241 1640 0 0
921.581 1658 0 0
924.92 1644 0 0
928.258 1646 0 0
931.595 1646 0 0
934.93 1657 0 0
938.265 1637 0 0
941.598 1641 0 0
944.93 1648 0 0
948.261 1644 0 0
951.591 1629 0 0
954.92 1647 0 0
958.247 1651 0 0
961.574 1638 0 0
964.899 1647 0 0
968.223 1649 0 0
971.545 1650 0 0
974.867 1635 0 0
978.187 1651 0 0
981.506 1648 0 0
984.823 1639 0 0
988.14 1645 0 0
991.455 1648 0 0
994.768 1639 0 0
998.081 1638 0 0
1001.39 1651 0 0
1004.7 1639 0 0
1008.01 1636 0 0
1011.32 1642 0 0
1014.62 1649 0 0
1017.93 1642 0 0
1021.23 1639 0 0
1024.53 1652 0 0
1027.83 1637 0 0
1031.13 1640 0 0
1034.43 1643 0 0
1037.72 1640 0 0
1041.02 1639 0 0
1044.31 1647 0 0
1047.6 1647 0 0
1050.89 1637 0 0
1054.18 1638 0 0
1057.47 1656 0 0
1060.75 1639 0 0
1064.04 1635 0 0
1067.32 1643 0 0
1070.6 1648 0 0
1073.88 1646 0 0
