[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Light_795
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = LIGHT
Mission = 1 ; 13793 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.25
lampLEDs = 255
tempLampModule = 25.25
tempSpectrometer = 26.6875
tempMainCPU = 28.3125
Deviation = 13793
Maximum = 37804
RAWDynamic = 65535
560.219 23916 0 0
563.614 24092 0 0
567.009 24148 0 0
570.404 24063 0 0
573.799 23795 0 0
577.194 23355 0 0
580.589 22826 0 0
583.984 22379 0 0
587.379 21943 0 0
590.773 21417 0 0
594.168 20771 0 0
597.563 20019 0 0
600.958 19234 0 0
604.352 18496 0 0
607.747 17832 0 0
611.141 17201 0 0
614.536 16636 0 0
617.93 16100 0 0
621.324 15579 0 0
624.718 15074 0 0
628.111 14595 0 0
631.505 14057 0 0
634.898 13473 0 0
638.292 12810 0 0
641.685 12102 0 0
645.078 11321 0 0
648.47 10509 0 0
651.863 9708 0 0
655.255 8989 0 0
658.647 8352 0 0
662.038 7796 0 0
665.43 7310 0 0
668.821 6854 0 0
672.211 6463 0 0
675.602 6116 0 0
678.992 5782 0 0
682.382 5496 0 0
685.772 5226 0 0
689.161 4952 0 0
692.55 4678 0 0
695.938 4432 0 0
699.326 4171 0 0
702.714 3909 0 0
706.101 3675 0 0
709.488 3455 0 0
712.875 3223 0 0
716.261 3025 0 0
719.646 2843 0 0
723.031 2673 0 0
726.416 2519 0 0
729.8 2379 0 0
733.184 2268 0 0
736.567 2160 0 0
739.95 2104 0 0
743.332 2060 0 0
746.714 2025 0 0
750.095 1991 0 0
753.476 1971 0 0
756.856 1936 0 0
760.235 1904 0 0
763.614 1889 0 0
766.993 1875 0 0
770.371 1856 0 0
773.748 1839 0 0
777.124 1838 0 0
780.5 1822 0 0
783.876 1799 0 0
787.25 1793 0 0
790.624 1787 0 0
793.997 1773 0 0
797.37 1761 0 0
800.742 1768 0 0
804.113 1748 0 0
807.484 1724 0 0
810.853 1736 0 0
814.222 1724 0 0
817.591 1715 0 0
820.958 1704 0 0
824.325 1712 0 0
827.691 1689 0 0
831.056 1682 0 0
834.421 1690 0 0
837.784 1688 0 0
841.147 1668 0 0
844.509 1670 0 0
847.87 1680 0 0
851.231 1663 0 0
854.59 1660 0 0
857.949 1671 0 0
861.306 1660 0 0
864.663 1658 0 0
868.019 1668 0 0
871.374 1666 0 0
874.728 1655 0 0
878.081 1651 0 0
881.433 1667 0 0
884.784 1654 0 0
888.135 1653 0 0
891.484 1658 0 0
894.832 1659 0 0
898.179 1648 0 0
901.526 1658 0 0
904.871 1664 0 0
908.215 1648 0 0
911.558 1646 0 0
914.9 1660 0 0
918.241 1650 0 0
921.581 1649 0 0
924.92 1643 0 0
928.258 1662 0 0
931.595 1652 0 0
934.93 1652 0 0
938.265 1656 0 0
941.598 1650 0 0
944.93 1641 0 0
948.261 1649 0 0
951.591 1643 0 0
954.92 1646 0 0
958.247 1648 0 0
961.574 1653 0 0
964.899 1646 0 0
968.223 1641 0 0
971.545 1657 0 0
974.867 1645 0 0
978.187 1646 0 0
981.506 1646 0 0
984.823 1655 0 0
988.14 1648 0 0
991.455 1645 0 0
994.768 1650 0 0
998.081 1645 0 0
1001.39 1644 0 0
1004.7 1651 0 0
1008.01 1650 0 0
1011.32 1641 0 0
1014.62 1649 0 0
1017.93 1658 0 0
1021.23 1646 0 0
1024.53 1638 0 0
1027.83 1651 0 0
1031.13 1647 0 0
1034.43 1638 0 0
1037.72 1642 0 0
1041.02 1654 0 0
1044.31 1643 0 0
1047.6 1647 0 0
1050.89 1649 0 0
1054.18 1639 0 0
1057.47 1644 0 0
1060.75 1648 0 0
1064.04 1651 0 0
1067.32 1642 0 0
1070.6 1644 0 0
1073.88 1658 0 0
1077.16 1647 0 0
1080.43 1637 0 0
